codigo,nombre,tipo,espesor,placaLargo,placaAncho,precioPlaca,codigoDiac,descripcionDiac
,Ench Cerejeira 2.60/,mdf,19,2750,1830,222859,2012052601832619,Ench Euca MDF Cerejeira 19mm 2.60/2.75x1.83m LN
,Ench Ebano,mdf,19,2500,1830,326690,2012052601833020,Ench Euca MDF Ebano 19mm 2.50x1.83m Rec LEX19
,Ench Ebano Negro,mdf,19,2500,1830,229677,2012052601832420,Ench Euca MDF Ebano Negro 19mm 2.50x1.83m RecX32
,Ench Ebano osc,mdf,19,2500,1830,313078,2012052601833019,Ench Euca MDF Ebano osc.19mm 2.50x1.83m Rec LEX26
,Ench Freijo peteriby,mdf,19,2600,1830,234024,2012052601833420,Ench Euca MDF Freijo 19mmsimil peteriby 2.60x1.83m
,Ench Fresno,mdf,19,2600,1830,277973,2012052601832719,Ench Euca MDF Fresno 19mm 2.60x1.83m
,Ench G Terso Rec (),mdf,19,2500,1830,274084,2012052601830551,Ench Euca MDF G Terso 19mm 2.50x1.83m  Rec  (X33)
,Ench Haya,mdf,19,2600,1830,163488,2012052601832219,Ench Euca MDF Haya 19mm 2.60x1.83m LN
,Ench Haya vapori. Rec,mdf,19,2500,1830,174972,2012052601832218,Ench Euca MDF Haya vapori.19mm 2.50x1.83m Rec
,Ench Incienso,mdf,19,2750,1830,338520,2012052751833239,Ench Euda MDF Incienso 19mm 2.75x1.83m LN
,Ench Jequetiba,mdf,19,2500,1830,145107,2012052601832520,Ench Euca MDF Jequetiba 19mm 2.50x1.83m Rec LN
,Ench Jequetiba,mdf,19,2600,1830,204897,2012052601832519,Ench Euca MDF Jequetiba 19mm 2.60x1.83m LN
,Ench Kiri 2.60/,mdf,19,2750,1830,189290,2012052601830750,Ench Euca MDF Kiri 19mm 2.60/2.75x1.83m
,Ench Loro Negro,mdf,19,2500,1830,189136,2012052601833216,Ench Euca MDF Loro Negro 19mm 2.50x1.83m Rec Eco
,Ench Mogno,mdf,19,2600,1830,181255,2012052601833419,Ench Euca MDF Simil Mogno 19mm 2.60x1.83m LN
,Ench N Amer.Natural,mdf,19,2600,1830,401198,2012052601832654,Ench Euca MDF N Amer.Natural 19mm 2.60x1.83m LN
,Ench N Floreado,mdf,19,2500,1830,396051,2012052601832652,Ench Euca MDF N Floreado 19mm 2.50x1.83m Rec LC
,Ench N Rayado,mdf,19,2500,1830,213842,2012052601832651,Ench Euca MDF N Rayado 19mm 2.50x1.83m Rec LC
,Ench Peter Flor,mdf,19,2750,1830,313078,2012052601833249,Ench Euca MDF Peter Flor 19mm 2.75x1.83mRecXA31
,Ench Peter. 2.60/,mdf,19,2750,1830,328609,2012052601833221,Ench Euca MDF Peter. 19mm 2.60/2.75x1.83m LN
,Ench Pino,mdf,19,2600,1830,159405,2012052601830119,Ench Euca MDF Pino 19mm 2.60x1.83m LN
,Ench R Americ.nat,mdf,19,2600,1830,329555,2012052601832915,Ench Euca MDF R Americ.nat.19mm 2.60x1.83m LN
,Ench R Eslavonia,mdf,19,2500,1830,287286,2012052601832918,Ench Euca MDF R Eslavonia 19mm 2.50x1.83m Rec LC
,Ench R Flor,mdf,19,2500,1830,246224,2012052601832921,Ench Euca MDF R Flor 19mm 2.50x1.83m Rec LC
,Ench R Flor,mdf,19,2500,1830,313794,2012052601832655,Ench Euca MDF R Flor 19mm 2.50x1.83m Rec X03
,Ench R Rayado,mdf,19,2600,1830,262772,2012052601832911,Ench Euca MDF R Rayado 19mm 2.60x1.83m Rec LEX02
